point_id,gas,temperature_K,pressure_MPa,pressure_basis,salt,salt_molality,salt_composition,m_Na,m_Cl,m_K,m_Ca,m_Mg,m_SO4,source_id,reference,method,flags,gas2,gas2_mole_fraction_feed,solubility_mole_fraction,solubility_mol_per_kgw,value_as_printed,unit_as_printed
C2H6_tabasinejad2011_c2c4_007,C2H6,424.41,41.62,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.022,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_008,C2H6,424.41,69.14,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.0179,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_009,C2H6,424.41,103.41,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.0150,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_010,C2H6,478.2,3.71,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.491,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_011,C2H6,478.2,7.44,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.270,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_012,C2H6,478.2,14.01,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.164,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_013,C2H6,478.2,21.38,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.118,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_014,C2H6,478.2,28.14,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.097,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_015,C2H6,478.2,35.03,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.084,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
C2H6_tabasinejad2011_c2c4_016,C2H6,478.2,41.84,total,none,0,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,tabasinejad2011_c2c4,"Tabasinejad, Moore, Mehta, Van Fraassen & Barzin (2011, JCED)",gravimetric,,,,,,0.076,"y_H2O (mole fraction water, measured) in the vapour of synthetic gas mixture BG I (Table 2; mixture composition per Table 1: CH4 0.96 / C2H6 0.030 / C3H8 0.0100)"
